_id,name,type,slug,acronyme,start,end,axe.id,bddLink
ObjectID(561e4c05ed7feda4f6e21b36),"BERTRAND  Gilles","personne","bertrand-gilles","","","",,""
ObjectID(561e4c05ed7feda4f6e21b37),"BESSON Grégoire","personne","besson-gregoire","","","",,""
ObjectID(561e4c05ed7feda4f6e21b38),"RAUTENBERG Michel","personne","rautenberg-michel","","","",,""
ObjectID(561e4c05ed7feda4f6e21b39),"personne-92038","personne","personne-92038","","","",,""
ObjectID(561e4c05ed7feda4f6e21b3a),"MATHIEU Lilian","personne","mathieu-lilian","","","",,""
ObjectID(561e4c05ed7feda4f6e21b3b),"Thèse annulée : le doctorant n'a pas pu être recruté","personne","these-annulee-le-doctorant-na-pas-pu-etre-recrute","","","",,""
ObjectID(561e4c05ed7feda4f6e21b3c),"HOURS  Bernard","personne","hours-bernard","","","",,""
ObjectID(561e4c05ed7feda4f6e21b3d),"LETRICOT  Rosemonde","personne","letricot-rosemonde","","","",,""
ObjectID(561e4c05ed7feda4f6e21b3e),"CHEVROT  Jean-Pierre","personne","chevrot-jean-pierre","","","",,""
ObjectID(561e4c05ed7feda4f6e21b3f),"Bardet, Julie","personne","bardet-julie","","","",,""
ObjectID(561e4c05ed7feda4f6e21b40),"Adrien LUTZ","personne","adrien-lutz","","","",,""
ObjectID(561e4c05ed7feda4f6e21b41),"CALABRETTO  Sylvie","personne","calabretto-sylvie","","","",,""
ObjectID(561e4c05ed7feda4f6e21b42),"Vincent Barrellon","personne","vincent-barrellon","","","",,""
ObjectID(561e4c05ed7feda4f6e21b43),"DARMONT  Jérôme","personne","darmont-jerome","","","",,""
ObjectID(561e4c05ed7feda4f6e21b44),"Aubuke OZTÜRK","personne","aubuke-ozturk","","","",,""
ObjectID(561e4c05ed7feda4f6e21b45),"TROMPETTE Pascale ","personne","trompette-pascale","","","",,""
ObjectID(561e4c05ed7feda4f6e21b46),"personne-23844","personne","personne-23844","","","",,""
ObjectID(561e4c05ed7feda4f6e21b47),"De VRIES  Erica","personne","de-vries-erica","","","",,""
ObjectID(561e4c05ed7feda4f6e21b48),"Martin Galilée","personne","martin-galilee","","","",,""
ObjectID(561e4c05ed7feda4f6e21b49),"BRISSAUD  Catherine","personne","brissaud-catherine","","","",,""
ObjectID(561e4c05ed7feda4f6e21b4a),"GAUDEZ Florent","personne","gaudez-florent","","","",,""
ObjectID(561e4c05ed7feda4f6e21b4b),"PUTHOD  Dominique","personne","puthod-dominique","","","",,""
ObjectID(561e4c05ed7feda4f6e21b4c),"CIAVALDINI RIVIERE  Laurence","personne","ciavaldini-riviere-laurence","","","",,""
